mag_1,x_1,y_1,z_1,mag_2,x_2,y_2,z_2,mag_3,x_3,y_3,z_3,mag_4,x_4,y_4,z_4,avg_mag,max_mag,min_mag,range_mag,std_mag,left_right_diff,top_bottom_diff,diag1_diff,diag2_diff,diff_12,diff_13,diff_14,diff_23,diff_24,diff_34,norm_mag_1,norm_mag_2,norm_mag_3,norm_mag_4,strongest_sensor,rssi,label
1993.8757113972777,-245.05,1429.9,-1367.8,2463.3337776273843,1095.5,-2158.1,458.8,2690.703288640351,474.05,-1749.75,1988.35,0.0,0.0,0.0,0.0,1786.9781944162532,2690.703288640351,0.0,2690.703288640351,1061.8702334470192,1110.622611205122,883.2531001921554,1993.8757113972777,-227.36951101296654,469.4580662301066,696.8275772430732,1993.8757113972777,227.36951101296654,2463.3337776273843,2690.703288640351,0.2789451653114059,0.3446228086784341,0.37643202601015996,0.0,3,-33,empty
1996.923624603605,-244.1,1435.5,-1366.55,2466.914636240987,1099.65,-2160.1,458.7,2689.11622145641,476.8,-1745.25,1989.5,0.0,0.0,0.0,0.0,1788.2386205752505,2689.11622145641,0.0,2689.11622145641,1062.2533103069745,1109.5626049095142,887.3610196940908,1996.923624603605,-222.20158521542317,469.9910116373819,692.1925968528051,1996.923624603605,222.20158521542317,2466.914636240987,2689.11622145641,0.27917465846381617,0.34488051648378676,0.3759448250523971,0.0,3,-32,empty
1995.7058926605393,-243.8,1431.9,-1368.6,2462.9994792934895,1098.65,-2156.35,457.7,2691.759733891567,476.2,-1750.45,1988.65,0.0,0.0,0.0,0.0,1787.6162764613991,2691.759733891567,0.0,2691.759733891567,1062.1312421872747,1112.2330736293084,883.472819031231,1995.7058926605393,-228.7602545980776,467.2935866329501,696.0538412310277,1995.7058926605393,228.7602545980776,2462.9994792934895,2691.759733891567,0.2791015497759753,0.34445304505855934,0.37644540516546526,0.0,3,-31,empty
1989.8790377809403,-241.6,1427.45,-1365.15,2462.137999787989,1098.1,-2154.6,462.6,2692.1808237003697,477.85,-1746.55,1992.25,0.0,0.0,0.0,0.0,1786.0494653173248,2692.1808237003697,0.0,2692.1808237003697,1061.8014094286646,1109.9609308466604,879.9181069342799,1989.8790377809403,-230.04282391238075,472.2589620070487,702.3017859194294,1989.8790377809403,230.04282391238075,2462.137999787989,2692.1808237003697,0.27853078490009814,0.344634631850824,0.37683458324907787,0.0,3,-28,empty
1994.5268724687567,-238.55,1430.95,-1368.8,2461.393532635527,1094.3,-2156.1,460.65,2694.17262113993,480.8,-1747.1,1993.75,0.0,0.0,0.0,0.0,1787.5232565610534,2694.17262113993,0.0,2694.17262113993,1062.332823202487,1113.6529804865797,880.8738919821767,1994.5268724687567,-232.7790885044028,466.86666016677054,699.6457486711734,1994.5268724687567,232.7790885044028,2461.393532635527,2694.17262113993,0.27895117799837044,0.3442463648516253,0.3768024571500043,0.0,3,-38,empty
1991.6882292417156,-238.95,1429.7,-1365.9,2463.0239513654756,1094.2,-2158.65,457.65,2690.610608672314,475.15,-1749.65,1988.05,0.0,0.0,0.0,0.0,1786.3306973198762,2690.610608672314,0.0,2690.610608672314,1061.6949884795938,1109.637443274277,882.0507859674385,1991.6882292417156,-227.58665730683833,471.33572212376,698.9223794305983,1991.6882292417156,227.58665730683833,2463.0239513654756,2690.610608672314,0.2787401336479785,0.3447043645195256,0.376555501832496,0.0,3,-38,empty
1991.010711924976,-241.05,1433.5,-1360.55,2463.090467786354,1095.55,-2158.2,456.9,2691.219386263409,476.65,-1751.2,1987.15,0.0,0.0,0.0,0.0,1786.3301414936846,2691.219386263409,0.0,2691.219386263409,1061.8025469531292,1109.5698152010157,881.4408967239603,1991.010711924976,-228.12891847705487,472.0797558613781,700.208674338433,1991.010711924976,228.12891847705487,2463.090467786354,2691.219386263409,0.2786454006564742,0.3447137808645466,0.3766408184789793,0.0,3,-33,empty
1998.7968543601423,-242.55,1433.6,-1371.55,2467.1591400839957,1094.8,-2162.65,459.6,2692.2740898727234,473.5,-1747.65,1992.45,0.0,0.0,0.0,0.0,1789.5575210792153,2692.2740898727234,0.0,2692.2740898727234,1063.0543703752007,1111.9559020744352,886.8409522857073,1998.7968543601423,-225.1149497887277,468.36228572385335,693.477235512581,1998.7968543601423,225.1149497887277,2467.1591400839957,2692.2740898727234,0.27923059622508567,0.3446604972211433,0.3761089065537711,0.0,3,-30,empty
1999.4298256002885,-244.85,1437.05,-1368.45,2460.993413237833,1095.3,-2155.7,458.0,2692.53460237747,475.35,-1747.15,1992.8,0.0,0.0,0.0,0.0,1788.2394603038979,2692.53460237747,0.0,2692.53460237747,1062.1616311734406,1115.4855073699628,883.9443182303257,1999.4298256002885,-231.54118913963703,461.5635876375445,693.1047767771815,1999.4298256002885,231.54118913963703,2460.993413237833,2692.53460237747,0.27952490004617453,0.3440525539039953,0.3764225460498302,0.0,3,-27,empty
1996.3751532465035,-242.25,1433.0,-1368.7,2464.7696875164625,1097.55,-2157.5,464.4,2689.870122329329,475.1,-1745.45,1990.75,0.0,0.0,0.0,0.0,1787.7537407730738,2689.870122329329,0.0,2689.870122329329,1062.0441244844217,1110.7377940296853,885.6373592168184,1996.3751532465035,-225.10043481286675,468.39453426995897,693.4949690828257,1996.3751532465035,225.10043481286675,2464.7696875164625,2689.870122329329,0.27917367863864967,0.3446741057371006,0.3761522156242497,0.0,3,-27,empty
1999.0922252362448,-241.95,1434.4,-1371.25,2464.1762822493038,1098.9,-2156.5,462.7,2689.127007971174,476.65,-1749.8,1985.55,0.0,0.0,0.0,0.0,1788.0988788641807,2689.127007971174,0.0,2689.127007971174,1061.926096489139,1112.0214754790577,887.0707497571875,1999.0922252362448,-224.95072572187019,465.084057013059,690.0347827349292,1999.0922252362448,224.95072572187019,2464.1762822493038,2689.127007971174,0.2794996754466522,0.344524610939661,0.3759757136136867,0.0,3,-27,empty
1995.3093964345478,-243.75,1432.55,-1367.35,2462.68244552561,1095.45,-2157.35,458.95,2691.165762267349,475.6,-1745.2,1992.6,0.0,0.0,0.0,0.0,1787.2894010568766,2691.165762267349,0.0,2691.165762267349,1061.93502184444,1111.8963565881431,883.4130398464047,1995.3093964345478,-228.4833167417387,467.3730490910623,695.856365832801,1995.3093964345478,228.4833167417387,2462.68244552561,2691.165762267349,0.27909713380142337,0.3444716960875717,0.3764311701110049,0.0,3,-28,empty
1997.1752514489058,-242.55,1434.35,-1368.4,2462.3064040650993,1097.15,-2155.95,459.45,2692.755362542242,473.0,-1749.95,1991.2,0.0,0.0,0.0,0.0,1788.0592545140616,2692.755362542242,0.0,2692.755362542242,1062.305236783015,1113.8121049630242,883.3631464858815,1997.1752514489058,-230.4489584771427,465.1311526161935,695.5801110933362,1997.1752514489058,230.4489584771427,2462.3064040650993,2692.755362542242,0.2792378449437454,0.3442708061616052,0.3764913488946495,0.0,3,-28,empty
